QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 26
100301 0 0 0
100302 1 0 0
100303 1 0.767 0
100304 3 0 0
100305 5 0 0
100306 7 0 0
100307 9 0 0
100308 11 0 0
100312 13 0 0
100313 15 0 0
100314 17 0 0
100315 19 0 0
100326 3 0.771 -90
100327 0 0.765 0
100328 -22.06 -5.032 0
100329 -22.026 -3.699 0
100331 13 0.791 0
100332 11 0.787 0
100333 9 0.783 0
100334 7 0.779 0
100335 5 0.775 0
100336 20 0 0
100337 20 0.805 0
100338 19 0.803 0
100339 17 0.799 0
100340 15 0.795 0
QRcodeTable Start
qrcode_table的大小为: 5
100301 311.63 -188.393 -92.4728
100327 312.397 -188.417 -92.4406
100329 307.938 -166.365 -90.2368
100336 311.007 -208.295 -91.8847
100337 311.848 -208.317 -91.2286
MV_SC2005AM Start

 init 

2024-5-17 17:4:7.08158 100337 0.0537176 | -0.0338134 -0.04174 0.309424 | 311.449 -207.529 -92.0038 | 311.483 -207.487 -92.3132
2024-5-17 17:4:7.09355 100337 0.0537574 | -0.0324922 -0.0428266 0.198898 | 311.45 -207.532 -92.1138 | 311.483 -207.489 -92.3127
2024-5-17 17:4:7.10155 100337 0.0554975 | -0.0329826 -0.0446333 0.228379 | 311.45 -207.536 -92.0838 | 311.482 -207.492 -92.3122
2024-5-17 17:4:7.11354 100337 0.0496387 | -0.0270961 -0.0415908 0.0474512 | 311.451 -207.54 -92.2438 | 311.479 -207.498 -92.2913
2024-5-17 17:4:7.12154 100337 0.048383 | -0.0260994 -0.0407399 -0.0322687 | 311.452 -207.544 -92.3238 | 311.478 -207.503 -92.2915
2024-5-17 17:4:7.13355 100337 0.047022 | -0.0250024 -0.0398239 -0.121709 | 311.453 -207.548 -92.4138 | 311.478 -207.508 -92.2921
2024-5-17 17:4:7.14155 100337 0.0452345 | -0.0235648 -0.0386116 -0.231634 | 311.454 -207.551 -92.5238 | 311.478 -207.513 -92.2922
2024-5-17 17:4:7.15354 100337 0.0443593 | -0.0228122 -0.038044 -0.281067 | 311.455 -207.555 -92.5738 | 311.478 -207.517 -92.2927
2024-5-17 17:4:7.16155 100337 0.0436395 | -0.0223751 -0.0374668 -0.329325 | 311.455 -207.559 -92.6238 | 311.477 -207.522 -92.2945
2024-5-17 17:4:7.17355 100337 0.0426949 | -0.0216838 -0.0367786 -0.387372 | 311.455 -207.563 -92.6838 | 311.477 -207.527 -92.2964
2024-5-17 17:4:7.18154 100337 0.0428077 | -0.0220345 -0.0367013 -0.357604 | 311.455 -207.568 -92.6538 | 311.477 -207.531 -92.2962
2024-5-17 17:4:7.19357 100337 0.0421517 | -0.0194044 -0.0374197 -0.568123 | 311.457 -207.571 -92.8638 | 311.477 -207.534 -92.2957
2024-5-17 17:4:7.20158 100337 0.0434995 | -0.0188178 -0.0392186 -0.618437 | 311.458 -207.575 -92.9138 | 311.477 -207.536 -92.2954
2024-5-17 17:4:7.21354 100337 0.0440306 | -0.0192769 -0.0395866 -0.606136 | 311.457 -207.58 -92.9238 | 311.477 -207.54 -92.3177
2024-5-17 17:4:7.22154 100337 0.0399246 | -0.0165832 -0.0363176 -0.789702 | 311.46 -207.583 -93.1138 | 311.476 -207.547 -92.3241
2024-5-17 17:4:7.23355 100337 0.0397491 | -0.0166929 -0.036074 -0.7946 | 311.459 -207.587 -93.1238 | 311.476 -207.551 -92.3292
2024-5-17 17:4:7.24154 100337 0.039005 | -0.0159449 -0.035597 -0.852012 | 311.46 -207.591 -93.1838 | 311.476 -207.556 -92.3318
2024-5-17 17:4:7.25354 100337 0.0383315 | -0.0156782 -0.0349785 -0.889894 | 311.46 -207.595 -93.2238 | 311.476 -207.56 -92.3339
2024-5-17 17:4:7.26172 100337 0.0377538 | -0.0150196 -0.0346376 -0.947456 | 311.461 -207.6 -93.2838 | 311.476 -207.565 -92.3363
2024-5-17 17:4:7.27354 100337 0.0369495 | -0.0144112 -0.0340233 -1.01578 | 311.461 -207.604 -93.3538 | 311.476 -207.57 -92.338
2024-5-17 17:4:7.28155 100337 0.0361816 | -0.0135526 -0.0335475 -1.06431 | 311.462 -207.608 -93.4038 | 311.475 -207.574 -92.3395
2024-5-17 17:4:7.29356 100337 0.0342089 | -0.011459 -0.0322326 -1.2416 | 311.464 -207.611 -93.5838 | 311.475 -207.579 -92.3422
2024-5-17 17:4:7.30155 100337 0.0392862 | -0.0128675 -0.0371192 -1.1716 | 311.462 -207.616 -93.5138 | 311.475 -207.579 -92.3422
2024-5-17 17:4:7.31355 100337 0.0375418 | -0.010631 -0.0360051 -1.20875 | 311.463 -207.62 -93.5638 | 311.473 -207.584 -92.3551
2024-5-17 17:4:7.32154 100337 0.0358657 | -0.00871535 -0.0347906 -1.35673 | 311.464 -207.623 -93.7138 | 311.473 -207.589 -92.3571
2024-5-17 17:4:7.33355 100337 0.0366073 | -0.00987469 -0.0352503 -1.28491 | 311.463 -207.628 -93.6438 | 311.473 -207.593 -92.3589
2024-5-17 17:4:7.34155 100337 0.0341358 | -0.0062209 -0.0335642 -1.55404 | 311.466 -207.631 -93.9138 | 311.472 -207.597 -92.3598
2024-5-17 17:4:7.35154 100337 0.0356291 | -0.00846962 -0.0346078 -1.38343 | 311.464 -207.637 -93.7438 | 311.472 -207.602 -92.3604
2024-5-17 17:4:7.36254 100337 0.0349933 | -0.00808857 -0.0340457 -1.43284 | 311.464 -207.64 -93.7938 | 311.472 -207.606 -92.361
2024-5-17 17:4:7.37255 100337 0.0329925 | -0.00539908 -0.0325477 -1.63197 | 311.466 -207.643 -93.9938 | 311.472 -207.611 -92.3618
2024-5-17 17:4:7.38354 100337 0.0322387 | -0.00460986 -0.0319074 -1.69127 | 311.467 -207.647 -94.0538 | 311.471 -207.615 -92.3625
