QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_14:15:58.499044 100325 0.007753 | 0.007707 -0.000840 -0.317937 | 7.672202 -0.259650 -4.397850 | 7.664495 -0.258810 -4.079913
2024-5-19_14:15:58.510077 100325 0.007801 | 0.007744 -0.000941 -0.318015 | 7.672202 -0.259650 -4.397850 | 7.664457 -0.258708 -4.079835
2024-5-19_14:15:58.519047 100325 0.007874 | 0.007799 -0.001084 -0.308015 | 7.672256 -0.259792 -4.387850 | 7.664457 -0.258708 -4.079835
2024-5-19_14:15:58.530051 100325 0.007874 | 0.007799 -0.001084 -0.308015 | 7.672256 -0.259792 -4.387850 | 7.664457 -0.258708 -4.079835
2024-5-19_14:15:58.539043 100325 0.007439 | 0.007435 -0.000247 -0.318417 | 7.672202 -0.259650 -4.397850 | 7.664766 -0.259403 -4.079434
2024-5-19_14:15:58.550122 100325 0.007428 | 0.007422 -0.000294 -0.318305 | 7.672202 -0.259650 -4.397850 | 7.664779 -0.259356 -4.079546
2024-5-19_14:15:58.559047 100325 0.007215 | 0.007211 0.000222 -0.358481 | 7.671983 -0.259079 -4.437850 | 7.664772 -0.259301 -4.079369
2024-5-19_14:15:58.570073 100325 0.007472 | 0.007461 -0.000416 -0.319328 | 7.672202 -0.259650 -4.397850 | 7.664741 -0.259233 -4.078522
2024-5-19_14:15:58.579045 100325 0.007524 | 0.007508 -0.000495 -0.319887 | 7.672202 -0.259650 -4.397850 | 7.664694 -0.259154 -4.077964
2024-5-19_14:15:58.590047 100325 0.007467 | 0.007449 -0.000517 -0.330929 | 7.672147 -0.259507 -4.407850 | 7.664698 -0.258990 -4.076922
2024-5-19_14:15:58.599069 100325 0.007443 | 0.007426 -0.000509 -0.341777 | 7.672092 -0.259364 -4.417850 | 7.664667 -0.258855 -4.076073
2024-5-19_14:15:58.610050 100325 0.007426 | 0.007412 -0.000460 -0.351566 | 7.672038 -0.259222 -4.427850 | 7.664626 -0.258762 -4.076284
2024-5-19_14:15:58.619077 100325 0.007726 | 0.007650 -0.001081 -0.311365 | 7.672256 -0.259792 -4.387850 | 7.664606 -0.258712 -4.076485
2024-5-19_14:15:58.630071 100325 0.007802 | 0.007705 -0.001223 -0.301365 | 7.672311 -0.259935 -4.377850 | 7.664606 -0.258712 -4.076485
2024-5-19_14:15:58.639074 100325 0.007503 | 0.007492 -0.000399 -0.308259 | 7.672256 -0.259792 -4.387850 | 7.664764 -0.259394 -4.079592
2024-5-19_14:15:58.650078 100325 0.007226 | 0.007223 0.000232 -0.358627 | 7.671983 -0.259079 -4.437850 | 7.664760 -0.259311 -4.079224
2024-5-19_14:15:58.659048 100325 0.007357 | 0.007356 -0.000141 -0.339091 | 7.672092 -0.259364 -4.417850 | 7.664736 -0.259223 -4.078759
2024-5-19_14:15:58.670044 100325 0.007447 | 0.007440 -0.000324 -0.329456 | 7.672147 -0.259507 -4.407850 | 7.664707 -0.259182 -4.078394
2024-5-19_14:15:58.679043 100325 0.007456 | 0.007449 -0.000336 -0.329632 | 7.672147 -0.259507 -4.407850 | 7.664698 -0.259171 -4.078218
2024-5-19_14:15:58.690132 100325 0.007455 | 0.007447 -0.000358 -0.329617 | 7.672147 -0.259507 -4.407850 | 7.664700 -0.259149 -4.078233
