QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 0
MV_SC2005AM Start

 init 

2024-5-19_11:55:56.8644 100330 0.0213842 | -0.0105633 -0.018593 0.150296 | 6.72273 -0.221894 -1.8127 | 6.7333 -0.203301 -1.96299
2024-5-19_11:55:56.8754 100330 0.0216141 | -0.010124 -0.0190965 0.191882 | 6.72103 -0.222374 -1.7727 | 6.73115 -0.203278 -1.96458
2024-5-19_11:55:56.8854 100330 0.0232318 | -0.0105713 -0.0206873 0.31302 | 6.71952 -0.223934 -1.6527 | 6.73009 -0.203247 -1.96572
2024-5-19_11:55:56.8954 100330 0.0235013 | -0.0128434 -0.0196814 0.24302 | 6.71725 -0.222929 -1.7227 | 6.73009 -0.203247 -1.96572
2024-5-19_11:55:56.9054 100330 0.0193285 | -0.00480364 -0.0187221 0.308399 | 6.71559 -0.223552 -1.6727 | 6.7204 -0.20483 -1.9811
2024-5-19_11:55:56.9154 100330 0.0203775 | -0.00412252 -0.0199562 0.402676 | 6.71436 -0.22473 -1.5827 | 6.71848 -0.204774 -1.98537
2024-5-19_11:55:56.9234 100330 0.0199914 | -0.00429387 -0.0195248 0.378324 | 6.71229 -0.224267 -1.6127 | 6.71659 -0.204742 -1.99102
2024-5-19_11:55:56.9354 100330 0.0226961 | -0.00311541 -0.0224813 0.584321 | 6.71162 -0.227174 -1.4127 | 6.71474 -0.204693 -1.99702
2024-5-19_11:55:56.9434 100330 0.0230585 | -0.0028774 -0.0228783 0.617939 | 6.71008 -0.227543 -1.3827 | 6.71296 -0.204665 -2.00064
2024-5-19_11:55:56.9554 100330 0.0219906 | -0.00327616 -0.0217452 0.539059 | 6.70797 -0.226403 -1.4627 | 6.71124 -0.204658 -2.00176
2024-5-19_11:55:56.9634 100330 0.0236276 | -0.00241574 -0.0235038 0.670262 | 6.70716 -0.228155 -1.3327 | 6.70957 -0.204651 -2.00296
2024-5-19_11:55:56.9754 100330 0.0241077 | -0.00206121 -0.0240194 0.70926 | 6.70588 -0.228672 -1.2927 | 6.70794 -0.204652 -2.00196
2024-5-19_11:55:56.9854 100330 0.0247844 | -0.00249259 -0.0246587 0.758271 | 6.70465 -0.229328 -1.2427 | 6.70715 -0.20467 -2.00097
2024-5-19_11:55:56.9954 100330 0.0258479 | -0.00361156 -0.0255944 0.828271 | 6.70354 -0.230264 -1.1727 | 6.70715 -0.20467 -2.00097
2024-5-19_11:55:57.0034 100330 0.0259683 | 0.00227532 -0.0258684 0.805211 | 6.70226 -0.230238 -1.1727 | 6.69999 -0.204369 -1.97791
2024-5-19_11:55:57.0154 100330 0.0258247 | 0.0025031 -0.0257031 0.798616 | 6.70099 -0.230212 -1.1727 | 6.69848 -0.204509 -1.97131
2024-5-19_11:55:57.0254 100330 0.0253681 | 0.00233733 -0.0252602 0.772828 | 6.69939 -0.229903 -1.1927 | 6.69706 -0.204643 -1.96553
2024-5-19_11:55:57.0354 100330 0.0246315 | 0.00224709 -0.0245288 0.729323 | 6.69791 -0.22932 -1.2327 | 6.69566 -0.204791 -1.96202
2024-5-19_11:55:57.0454 100330 0.025519 | 0.00286909 -0.0253572 0.798411 | 6.69721 -0.230273 -1.1627 | 6.69434 -0.204916 -1.96111
2024-5-19_11:55:57.0554 100330 0.0269898 | 0.00343746 -0.02677 0.909331 | 6.69652 -0.231782 -1.0527 | 6.69308 -0.205012 -1.96203
