QRcodeLoc Start
QRcodeTable Start
qrcode_table的大小为: 10
100316 2 0.682 0
100317 0 0.682 0
100318 1 0.682 0
100320 3 0.682 0
100321 4 0.682 0
100322 0 0 0
100323 1 0 0
100324 2 0 0
100325 3 0 0
100330 4 0 0
QRcodeTable Start
qrcode_table的大小为: 4
100317 11.4886 -0.705484 179.147
100321 7.4656 -0.607814 -179.655
100322 11.4975 -0.0233727 179.512
100330 7.47142 0.0872711 178.607
MV_SC2005AM Start

 init 

2024-5-19_13:43:52.9544 100330 0.0123387 | 0.00872548 0.00872415 -0.895185 | 6.88652 -0.39169 9.02215 | 6.87779 -0.400414 9.91733
2024-5-19_13:43:52.9624 100330 0.0124936 | 0.0088998 0.00876831 -0.884788 | 6.88681 -0.391762 9.03215 | 6.87791 -0.40053 9.91694
2024-5-19_13:43:52.9744 100330 0.0124518 | 0.00910778 0.00849087 -0.844494 | 6.88714 -0.392183 9.07215 | 6.87803 -0.400674 9.91664
2024-5-19_13:43:52.9824 100330 0.0124763 | 0.0085633 0.0090735 -0.904774 | 6.88668 -0.391765 9.01215 | 6.87812 -0.400839 9.91692
2024-5-19_13:43:52.9944 100330 0.0125625 | 0.00893468 0.00883109 -0.845149 | 6.88714 -0.392183 9.07215 | 6.8782 -0.401014 9.9173
2024-5-19_13:43:53.0144 100330 0.0124389 | 0.00881989 0.00877125 -0.825142 | 6.88709 -0.392427 9.09215 | 6.87827 -0.401198 9.91729
2024-5-19_13:43:53.0254 100330 0.0125851 | 0.00870335 0.00909045 -0.835142 | 6.88698 -0.392108 9.08215 | 6.87827 -0.401198 9.91729
2024-5-19_13:43:53.0344 100330 0.0117505 | 0.00776965 0.00881517 -0.793709 | 6.88681 -0.391897 9.06215 | 6.87904 -0.400712 9.85586
2024-5-19_13:43:53.0454 100330 0.0119438 | 0.00761969 0.00919754 -0.805722 | 6.88673 -0.391792 9.05215 | 6.87911 -0.40099 9.85787
2024-5-19_13:43:53.0554 100330 0.0117139 | 0.00755656 0.00895061 -0.787535 | 6.88672 -0.39225 9.07215 | 6.87916 -0.401201 9.85968
2024-5-19_13:43:53.0634 100330 0.0120635 | 0.00731828 0.00959016 -0.809162 | 6.88652 -0.391825 9.05215 | 6.8792 -0.401416 9.86131
2024-5-19_13:43:53.0734 100330 0.0122318 | 0.0073891 0.00974771 -0.801455 | 6.8866 -0.391931 9.06215 | 6.87921 -0.401678 9.8636
2024-5-19_13:43:53.0824 100330 0.0122309 | 0.00722148 0.00987141 -0.794443 | 6.88648 -0.39207 9.07215 | 6.87925 -0.401941 9.86659
2024-5-19_13:43:53.0944 100330 0.0123725 | 0.0072704 0.010011 -0.787877 | 6.88656 -0.392175 9.08215 | 6.87929 -0.402186 9.87003
2024-5-19_13:43:53.1044 100330 0.0124565 | 0.00699565 0.0103066 -0.820572 | 6.88634 -0.392073 9.05215 | 6.87935 -0.402379 9.87272
